weights,total_change,ret_std,change_per_ret_std,d2,d3,d4,same_sign_days
"PEBBLES_L:-0.118, PEBBLES_M:0.471, PEBBLES_S:0.176, PEBBLES_XL:0.471, PEBBLES_XS:-1.000",6950.480900000002,24.20953092719974,287.09688431802874,3056.570600000001,1296.0131999999994,2597.897100000002,True
"PEBBLES_L:0.250, PEBBLES_M:0.250, PEBBLES_S:-0.062, PEBBLES_XL:0.562, PEBBLES_XS:-1.000",7501.75,26.181839841553963,286.5249365743103,3850.28125,1074.65625,2576.8125,True
"PEBBLES_L:-0.071, PEBBLES_M:1.000, PEBBLES_S:-0.429, PEBBLES_XL:0.286, PEBBLES_XS:-0.786",6469.564450000002,22.583879325880044,286.4682527145011,1950.268000000001,2553.035600000001,1966.2608499999997,True
"PEBBLES_L:0.250, PEBBLES_M:0.875, PEBBLES_S:-1.000, PEBBLES_XL:0.875, PEBBLES_XS:-1.000",11682.0625,40.79501050095803,286.3600807193237,5170.125,2029.8125,4482.125,True
"PEBBLES_L:0.364, PEBBLES_M:0.818, PEBBLES_S:-1.000, PEBBLES_XL:0.818, PEBBLES_XS:-1.000",11193.156500000001,39.08855575578711,286.3538005837639,5029.090600000001,2103.7944999999963,4060.2714000000033,True
"PEBBLES_L:-0.333, PEBBLES_M:0.667, PEBBLES_S:0.000, PEBBLES_XL:0.667, PEBBLES_XS:-1.000",8826.031149999997,30.859245466219853,286.0092985637459,3709.9263999999985,1229.7127,3886.3920499999986,True
"PEBBLES_L:0.071, PEBBLES_M:0.429, PEBBLES_S:-0.286, PEBBLES_XL:0.786, PEBBLES_XS:-1.000",9589.7153,33.545607688952245,285.87096674233845,4663.511549999999,972.0523499999999,3954.1514000000006,True
"PEBBLES_L:-0.231, PEBBLES_M:0.538, PEBBLES_S:0.154, PEBBLES_XL:0.538, PEBBLES_XS:-1.000",7559.1493500000015,26.48559840882812,285.40602456165016,3246.562099999999,1231.8070500000013,3080.780200000001,True
"PEBBLES_L:-0.111, PEBBLES_M:1.000, PEBBLES_S:-0.667, PEBBLES_XL:0.444, PEBBLES_XS:-0.667",7470.526250000001,26.204272935629508,285.0880949206743,2497.0975500000004,2170.0694000000003,2803.3593,True
"PEBBLES_L:-0.375, PEBBLES_M:0.875, PEBBLES_S:-0.375, PEBBLES_XL:0.875, PEBBLES_XS:-1.000",11017.6875,38.66669331237103,284.9399976096482,4580.75,1360.125,5076.8125,True
"PEBBLES_L:0.500, PEBBLES_M:1.000, PEBBLES_S:-1.000, PEBBLES_XL:0.500, PEBBLES_XS:-1.000",9244.5,32.49514656613029,284.48863836286085,3694.75,3090.5,2459.25,True
"PEBBLES_L:-0.118, PEBBLES_M:0.471, PEBBLES_S:-0.118, PEBBLES_XL:0.765, PEBBLES_XS:-1.000",9329.749900000003,32.81505612784699,284.31308676271743,4384.285050000002,891.4786500000009,4053.9861999999994,True
"PEBBLES_L:-0.000, PEBBLES_M:1.000, PEBBLES_S:-1.000, PEBBLES_XL:1.000, PEBBLES_XS:-1.000",12758.0,44.95164476290968,283.81608876138006,5480.5,1867.0,5410.5,True
"PEBBLES_L:0.250, PEBBLES_M:0.250, PEBBLES_S:-0.167, PEBBLES_XL:0.667, PEBBLES_XS:-1.000",8344.727999999997,29.41992221765414,283.64208233672827,4320.692149999999,931.3291499999996,3092.706699999999,True
"PEBBLES_L:-0.000, PEBBLES_M:0.333, PEBBLES_S:-0.000, PEBBLES_XL:0.667, PEBBLES_XS:-1.000",8299.181549999998,29.266503624777606,283.572703333573,4072.8219999999983,848.0469499999999,3378.3125999999993,True
"PEBBLES_L:-0.250, PEBBLES_M:1.000, PEBBLES_S:-0.667, PEBBLES_XL:0.583, PEBBLES_XS:-0.667",8446.576550000002,29.858521066228597,282.88663498318675,2993.1789000000017,1830.1810999999989,3623.216550000002,True
"PEBBLES_L:-0.538, PEBBLES_M:1.000, PEBBLES_S:-0.154, PEBBLES_XL:0.615, PEBBLES_XS:-0.923",8918.476450000002,31.540892228520963,282.75916817392493,3150.9434500000007,1740.0767000000005,4027.4563000000016,True
"PEBBLES_L:0.154, PEBBLES_M:0.538, PEBBLES_S:-0.615, PEBBLES_XL:0.923, PEBBLES_XS:-1.000",11079.393150000002,39.200025656718296,282.6373953686727,5345.516600000001,1114.8886500000008,4618.9879,True
"PEBBLES_L:-0.500, PEBBLES_M:1.000, PEBBLES_S:0.000, PEBBLES_XL:0.500, PEBBLES_XS:-1.000",8181.5,28.981025341169644,282.30540167871794,2751.75,2019.0,3410.75,True
"PEBBLES_L:0.364, PEBBLES_M:0.364, PEBBLES_S:-0.545, PEBBLES_XL:0.818, PEBBLES_XS:-1.000",9991.616800000002,35.50664662352941,281.4013079280428,5095.318900000002,1096.418599999999,3799.8793000000005,True
"PEBBLES_L:-0.333, PEBBLES_M:1.000, PEBBLES_S:0.000, PEBBLES_XL:0.333, PEBBLES_XS:-1.000",7010.099099999998,24.912843402308557,281.38494618203254,2156.380949999999,2426.9148999999998,2426.803249999999,True
"PEBBLES_L:0.176, PEBBLES_M:0.765, PEBBLES_S:-0.118, PEBBLES_XL:0.176, PEBBLES_XS:-1.000",5661.29355,20.136365067778616,281.14774096239296,1963.4009000000005,2667.4015,1030.4911499999998,True
"PEBBLES_L:0.375, PEBBLES_M:1.000, PEBBLES_S:-0.875, PEBBLES_XL:0.375, PEBBLES_XS:-0.875",7847.3125,27.93187757892261,280.94468328622423,2873.625,3000.1875,1973.5,True
"PEBBLES_L:-0.000, PEBBLES_M:1.000, PEBBLES_S:-0.667, PEBBLES_XL:0.333, PEBBLES_XS:-0.667",6689.82655,23.81691433295929,280.88552767485135,2100.3039,2441.9311000000007,2147.591549999999,True
"PEBBLES_L:0.471, PEBBLES_M:0.176, PEBBLES_S:-0.118, PEBBLES_XL:0.471, PEBBLES_XS:-1.000",6798.2841499999995,24.21931044409011,280.69684996580435,3654.0347500000025,1274.5438999999988,1869.7054999999982,True
"PEBBLES_L:0.667, PEBBLES_M:0.667, PEBBLES_S:-1.000, PEBBLES_XL:0.667, PEBBLES_XS:-1.000",9889.031149999999,35.251567720270785,280.52741451023434,4652.9263999999985,2301.2127,2934.8920500000004,True
"PEBBLES_L:0.231, PEBBLES_M:1.000, PEBBLES_S:-0.538, PEBBLES_XL:0.231, PEBBLES_XS:-0.923",6624.828350000002,23.628023090736484,280.38013694837247,2140.11665,3093.39895,1391.3127500000019,True
"PEBBLES_L:-0.154, PEBBLES_M:1.000, PEBBLES_S:-0.154, PEBBLES_XL:0.231, PEBBLES_XS:-0.923",6215.80315,22.2366613878818,279.5295139668491,1777.3548499999997,2681.2823499999986,1757.1659500000014,True
"PEBBLES_L:-0.500, PEBBLES_M:1.000, PEBBLES_S:-0.500, PEBBLES_XL:1.000, PEBBLES_XS:-1.000",12226.5,43.74592020547846,279.4889201683505,5009.0,1331.25,5886.25,True
"PEBBLES_L:-0.444, PEBBLES_M:0.667, PEBBLES_S:0.111, PEBBLES_XL:0.667, PEBBLES_XS:-1.000",8707.931849999997,31.231088191096465,278.82255644497536,3605.159099999997,1110.6690500000004,3992.1036999999997,True
"PEBBLES_L:-0.250, PEBBLES_M:1.000, PEBBLES_S:-0.875, PEBBLES_XL:1.000, PEBBLES_XS:-0.875",12239.1875,43.95071360187191,278.47528508567194,5105.8125,1470.8125,5662.5625,True
"PEBBLES_L:-0.545, PEBBLES_M:0.818, PEBBLES_S:-0.091, PEBBLES_XL:0.818, PEBBLES_XS:-1.000",10226.783200000002,36.757978949862746,278.2194095586473,4171.809300000003,1129.6938499999978,4925.280050000001,True
"PEBBLES_L:-0.333, PEBBLES_M:1.000, PEBBLES_S:-0.333, PEBBLES_XL:0.333, PEBBLES_XS:-0.667",6335.3332500000015,22.788340700132796,278.0076589763766,1785.9180000000006,2084.7824499999997,2464.632800000001,True
"PEBBLES_L:-0.231, PEBBLES_M:0.538, PEBBLES_S:-0.231, PEBBLES_XL:0.923, PEBBLES_XS:-1.000",10670.56335,38.392513566402926,277.9334395895806,4982.8387999999995,702.7897500000017,4984.934799999999,True
"PEBBLES_L:-0.091, PEBBLES_M:0.364, PEBBLES_S:-0.091, PEBBLES_XL:0.818, PEBBLES_XS:-1.000",9508.287900000001,34.23582556721849,277.7291840481972,4666.641400000002,609.4041499999985,4232.24235,True
"PEBBLES_L:0.538, PEBBLES_M:0.154, PEBBLES_S:-0.231, PEBBLES_XL:0.538, PEBBLES_XS:-1.000",7359.960800000001,26.502711637572887,277.7059532869001,4027.985849999999,1203.6168000000016,2128.35815,True
"PEBBLES_L:-0.000, PEBBLES_M:0.500, PEBBLES_S:-0.500, PEBBLES_XL:1.000, PEBBLES_XS:-1.000",11436.25,41.20392369504244,277.55245069964013,5553.25,759.0,5124.0,True
"PEBBLES_L:0.176, PEBBLES_M:0.176, PEBBLES_S:0.176, PEBBLES_XL:0.471, PEBBLES_XS:-1.000",6485.655849999999,23.450458015696196,276.56840841483466,3376.69845,959.4157499999983,2149.541650000001,True
"PEBBLES_L:-0.154, PEBBLES_M:0.615, PEBBLES_S:-0.538, PEBBLES_XL:1.000, PEBBLES_XS:-0.923",11422.136449999998,41.299631897381595,276.56751223306094,5305.95155,770.9918499999994,5345.193049999998,True
"PEBBLES_L:0.667, PEBBLES_M:0.333, PEBBLES_S:-0.333, PEBBLES_XL:0.333, PEBBLES_XS:-1.000",6310.677649999998,22.861544416245405,276.03899085293784,3196.385799999998,2021.0076999999983,1093.2841500000013,True
"PEBBLES_L:0.667, PEBBLES_M:0.250, PEBBLES_S:-0.583, PEBBLES_XL:0.667, PEBBLES_XS:-1.000",8787.484699999999,31.902790116489243,275.4456481051828,4713.556249999998,1377.8055000000022,2696.122949999999,True
"PEBBLES_L:0.250, PEBBLES_M:0.250, PEBBLES_S:-0.375, PEBBLES_XL:0.875, PEBBLES_XS:-1.000",10029.875,36.45997428361203,275.09276122852924,5261.0625,644.8125,4124.0,True
"PEBBLES_L:0.154, PEBBLES_M:0.923, PEBBLES_S:-1.000, PEBBLES_XL:0.538, PEBBLES_XS:-0.615",8206.04655,29.832084566015354,275.07452695237765,3125.7977,2101.3876500000006,2978.8611999999985,True
"PEBBLES_L:-0.364, PEBBLES_M:1.000, PEBBLES_S:-0.818, PEBBLES_XL:1.000, PEBBLES_XS:-0.818",12003.439100000001,43.64729191573464,275.0099392918537,4935.554499999999,1290.7849000000006,5777.099700000002,True
"PEBBLES_L:0.154, PEBBLES_M:0.154, PEBBLES_S:0.154, PEBBLES_XL:0.538, PEBBLES_XS:-1.000",6951.2201000000005,25.277705186189184,274.9941123531219,3665.2977499999997,791.4284499999994,2494.4939000000013,True
"PEBBLES_L:-0.062, PEBBLES_M:0.562, PEBBLES_S:0.250, PEBBLES_XL:0.250, PEBBLES_XS:-1.000",5467.53125,19.88833312940301,274.91148777655854,2099.34375,1862.15625,1506.03125,True
"PEBBLES_L:0.176, PEBBLES_M:0.176, PEBBLES_S:-0.118, PEBBLES_XL:0.765, PEBBLES_XS:-1.000",8864.924850000001,32.281316807416246,274.6147222830573,4704.412900000001,554.8811999999998,3605.6307500000003,True
"PEBBLES_L:0.286, PEBBLES_M:1.000, PEBBLES_S:-0.786, PEBBLES_XL:0.286, PEBBLES_XS:-0.786",6849.161749999998,24.944054924827324,274.5809280263767,2287.0132999999987,2935.6682500000006,1626.480199999999,True
"PEBBLES_L:-0.286, PEBBLES_M:0.429, PEBBLES_S:0.071, PEBBLES_XL:0.786, PEBBLES_XS:-1.000",9210.118,33.59261333558869,274.1709288286487,4326.766250000001,589.4197000000004,4293.932049999999,True
"PEBBLES_L:0.154, PEBBLES_M:0.923, PEBBLES_S:-0.231, PEBBLES_XL:0.154, PEBBLES_XS:-1.000",5872.64165,21.481286461439836,273.38407597430137,1816.63645,3025.352100000002,1030.6530999999977,True
"PEBBLES_L:-0.062, PEBBLES_M:0.250, PEBBLES_S:0.250, PEBBLES_XL:0.562, PEBBLES_XS:-1.000",7169.5625,26.227815467537635,273.3572115021864,3555.59375,739.8125,2874.15625,True
"PEBBLES_L:0.500, PEBBLES_M:0.500, PEBBLES_S:-1.000, PEBBLES_XL:1.000, PEBBLES_XS:-1.000",11967.75,43.78400821375352,273.33609891477835,6024.75,1294.75,4648.25,True
"PEBBLES_L:-0.615, PEBBLES_M:0.923, PEBBLES_S:0.154, PEBBLES_XL:0.538, PEBBLES_XS:-1.000",8167.009650000002,29.951920472035603,272.67065087279036,2827.925000000001,1671.9817500000008,3667.1029,True
"PEBBLES_L:-0.167, PEBBLES_M:0.667, PEBBLES_S:0.250, PEBBLES_XL:0.250, PEBBLES_XS:-1.000",5632.219349999999,20.71590310078819,271.8790159713436,1985.9220499999992,1981.4131500000003,1664.8841499999999,True
"PEBBLES_L:-0.154, PEBBLES_M:1.000, PEBBLES_S:-0.923, PEBBLES_XL:0.615, PEBBLES_XS:-0.538",8548.789850000001,31.479059057775704,271.5706919418974,3086.232650000001,1757.4908499999992,3705.066350000001,True
"PEBBLES_L:0.091, PEBBLES_M:0.545, PEBBLES_S:-0.818, PEBBLES_XL:1.000, PEBBLES_XS:-0.818",11285.10185,41.55967786856655,271.53968530962624,5430.277749999998,770.6096500000003,5084.21445,True
