target,reference,target_family,reference_family,same_family,log_beta,direction,high_spread_action,low_spread_action,log_intercept,log_r2,spread_std_bps,ar1,half_life_ticks,reversion_bps_per_z_next_tick,reversion_t,z2_count,z2_next_tick_reversion_bps,log_return_corr,abs_log_return_corr,best_lead,best_lead_corr,abs_best_lead_corr,pair_score
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,OXYGEN_SHAKE,True,0.4253107188715183,same,"SELL OXYGEN_SHAKE_CHOCOLATE, BUY 0.425x OXYGEN_SHAKE_GARLIC","BUY OXYGEN_SHAKE_CHOCOLATE, SELL 0.425x OXYGEN_SHAKE_GARLIC",5.172578011015708,0.3616068673835162,454.06062281718175,0.9995576167946555,1566.5012652950297,-0.20086879374238126,-2.91555732677343,2034,0.3334176563240345,0.006668183867757267,0.006668183867757267,OXYGEN_SHAKE_CHOCOLATE-> OXYGEN_SHAKE_GARLIC lag3,0.006833385738306709,0.006833385738306709,1.2383619306255118
PANEL_2X4,PANEL_1X4,PANEL,PANEL,True,-0.38391551376126953,reversed,"SELL PANEL_2X4, SELL 0.384x PANEL_1X4","BUY PANEL_2X4, BUY 0.384x PANEL_1X4",12.83856737132469,0.3718259514832196,441.9778717602808,0.9996981636727031,2296.087329857663,-0.1334049775585504,-2.1486144741445403,453,1.0334090222075207,0.010564424578374075,0.010564424578374075,PANEL_1X4-> PANEL_2X4 lag2,-0.011890101640879523,0.011890101640879523,1.2363308738174488
UV_VISOR_RED,UV_VISOR_AMBER,UV_VISOR,UV_VISOR,True,-0.25981773249098267,reversed,"SELL UV_VISOR_RED, SELL 0.260x UV_VISOR_AMBER","BUY UV_VISOR_RED, BUY 0.260x UV_VISOR_AMBER",11.640136522767078,0.3708167064113641,417.75846390908885,0.9996946469506741,2269.639518585885,-0.12756382083638174,-2.147115556841456,1260,0.2644526089698372,-0.0011598589121357909,0.0011598589121357909,UV_VISOR_RED-> UV_VISOR_AMBER lag3,0.00925847990740136,0.00925847990740136,1.2347329474071382
MICROCHIP_TRIANGLE,MICROCHIP_CIRCLE,MICROCHIP,MICROCHIP,True,-0.9412592360517841,reversed,"SELL MICROCHIP_TRIANGLE, SELL 0.941x MICROCHIP_CIRCLE","BUY MICROCHIP_TRIANGLE, BUY 0.941x MICROCHIP_CIRCLE",17.76544646966998,0.3551456420083161,714.2777130888333,0.9996723477133717,2115.149648000383,-0.23403472598128738,-2.2955887857653385,506,1.1855736977625575,0.0030223310152674896,0.0030223310152674896,MICROCHIP_CIRCLE-> MICROCHIP_TRIANGLE lag2,-0.012144630318736627,0.012144630318736627,1.2315714456217124
MICROCHIP_CIRCLE,MICROCHIP_TRIANGLE,MICROCHIP,MICROCHIP,True,-0.3773090647142161,reversed,"SELL MICROCHIP_CIRCLE, SELL 0.377x MICROCHIP_TRIANGLE","BUY MICROCHIP_CIRCLE, BUY 0.377x MICROCHIP_TRIANGLE",12.588625718025936,0.355145642008316,452.23179571834345,0.9996193416269016,1820.5700833758876,-0.17214581962138373,-2.596306274956769,1548,0.5435351408783097,0.00302233101526749,0.00302233101526749,MICROCHIP_CIRCLE-> MICROCHIP_TRIANGLE lag2,-0.012144630318736627,0.012144630318736627,1.225382554985722
MICROCHIP_OVAL,MICROCHIP_RECTANGLE,MICROCHIP,MICROCHIP,True,1.4255350176274484,same,"SELL MICROCHIP_OVAL, BUY 1.426x MICROCHIP_RECTANGLE","BUY MICROCHIP_OVAL, SELL 1.426x MICROCHIP_RECTANGLE",-3.9412998815371796,0.3655610393227291,1603.891686608472,0.9999638946709027,19197.572343517364,-0.05790903718189701,-0.3846561715221315,580,1.2752446192148759,0.0025125217050377844,0.0025125217050377844,MICROCHIP_RECTANGLE-> MICROCHIP_OVAL lag1,0.015001599057495194,0.015001599057495194,1.2238644647459567
UV_VISOR_MAGENTA,UV_VISOR_ORANGE,UV_VISOR,UV_VISOR,True,0.6235150043666744,same,"SELL UV_VISOR_MAGENTA, BUY 0.624x UV_VISOR_ORANGE","BUY UV_VISOR_MAGENTA, SELL 0.624x UV_VISOR_ORANGE",3.546236495192899,0.3404132407305499,457.6903083474534,0.9997069382139963,2364.844688805955,-0.13413153920105875,-1.9659017145252227,1292,0.22620966199139986,0.006517855812459909,0.006517855812459909,UV_VISOR_ORANGE-> UV_VISOR_MAGENTA lag1,0.007292279289642588,0.007292279289642588,1.210344250463116
UV_VISOR_ORANGE,UV_VISOR_MAGENTA,UV_VISOR,UV_VISOR,True,0.5459583784616698,same,"SELL UV_VISOR_ORANGE, BUY 0.546x UV_VISOR_MAGENTA","BUY UV_VISOR_ORANGE, SELL 0.546x UV_VISOR_MAGENTA",4.165551612700776,0.3404132407305501,428.2802321850096,0.999796546362689,3406.5582491982786,-0.08713517102662655,-1.3236026612125662,839,-0.12024405361275234,0.006517855812459909,0.006517855812459909,UV_VISOR_ORANGE-> UV_VISOR_MAGENTA lag1,0.007292279289642588,0.007292279289642588,1.2056446136456727
MICROCHIP_RECTANGLE,MICROCHIP_OVAL,MICROCHIP,MICROCHIP,True,0.256437782869158,same,"SELL MICROCHIP_RECTANGLE, BUY 0.256x MICROCHIP_OVAL","BUY MICROCHIP_RECTANGLE, SELL 0.256x MICROCHIP_OVAL",6.7657790481708915,0.365561039322729,680.2633884486435,0.9997557743215199,2837.795514611839,-0.16613778758925885,-1.8604331831893857,344,1.0740983193678706,0.002512521705037785,0.002512521705037785,MICROCHIP_RECTANGLE-> MICROCHIP_OVAL lag1,0.015001599057495194,0.015001599057495194,1.2034873397866925
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,OXYGEN_SHAKE,True,-0.6831381969128253,reversed,"SELL OXYGEN_SHAKE_GARLIC, SELL 0.683x OXYGEN_SHAKE_MORNING_BREATH","BUY OXYGEN_SHAKE_GARLIC, BUY 0.683x OXYGEN_SHAKE_MORNING_BREATH",15.67374342568228,0.308253435925275,668.2750534170843,0.9997806187119678,3159.2081176823153,-0.14660704197879112,-2.0713433786508406,1515,0.48317855919106284,0.013385003548156102,0.013385003548156102,OXYGEN_SHAKE_GARLIC-> OXYGEN_SHAKE_MORNING_BREATH lag1,0.011439112721146743,0.011439112721146743,1.1862991436713104
